bam_accession	fragment_length	bam_accession_control	fragment_length_control	target	biosample	experiment_accession
ENCFF420CUB	195	ENCFF906YGC	180	H3K27ac-human	ACC112	ENCSR059MVB
ENCFF124TRP	205	ENCFF984QHD	200	H3K27ac-human	iPS18a	ENCSR429YAE
ENCFF755AFZ	175	ENCFF616JVU	105	H3K27ac-human	psoasmusclemalechild3years	ENCSR367WYJ
ENCFF835ZFV	260	ENCFF865NTT	135	H3K27ac-human	CD14positivemonocytefemale	ENCSR000ASJ
ENCFF329AXT	230	ENCFF865NTT	135	H3K27ac-human	CD14positivemonocytefemale	ENCSR000ASJ
ENCFF798EOG	140	ENCFF301ZNZ	140	H3K27ac-human	rightcardiacatriummaleadult34years	ENCSR074ECR
ENCFF646GTW	215	ENCFF028IGG	95	H3K27ac-human	upperlobeofleftlungmaleadult54years	ENCSR948TOS
ENCFF191CNS	135	ENCFF623DTG	125	H3K27ac-human	heartleftventriclemaleadult34years	ENCSR150QXE
ENCFF155WZC	175	ENCFF535QXZ	95	H3K27ac-human	osteoblast	ENCSR000APH
ENCFF835QFJ	245	ENCFF535QXZ	95	H3K27ac-human	osteoblast	ENCSR000APH
ENCFF730NKH	205	ENCFF676EKJ	210	H3K27ac-human	SUDHL6	ENCSR307DQT
ENCFF070LFK	170	ENCFF676EKJ	210	H3K27ac-human	SUDHL6	ENCSR307DQT
ENCFF263CPS	210	ENCFF054XXR	200	H3K27ac-human	transversecolonmaleadult37years	ENCSR640XRV
ENCFF813SRB	250	ENCFF054XXR	200	H3K27ac-human	transversecolonmaleadult37years	ENCSR640XRV
ENCFF157WHV	240	ENCFF591VCF	235	H3K27ac-human	Peyerspatchmaleadult54years	ENCSR758KRK
ENCFF694SAM	220	ENCFF524KQP	245	H3K27ac-human	rightatriumauricularregionfemaleadult53years	ENCSR593KDJ
ENCFF456DFB	120	ENCFF363MTI	60	H3K27ac-human	iPSDF1911	ENCSR505OPZ
ENCFF111NTK	110	ENCFF363MTI	60	H3K27ac-human	iPSDF1911	ENCSR505OPZ
ENCFF535JGD	90	ENCFF621ETP	130	H3K27ac-human	mesendodermoriginatedfromH1	ENCSR473PNT
