bam_accession	fragment_length	biosample	experiment_accession
ENCFF021QCV	20	heartmaleadult27yearsandmaleadult35years	ENCSR000EJQ
ENCFF094NID	36	renalpelvisfemaleembryo96days	ENCSR141DMX
ENCFF837QAV	36	heartmalechild3years	ENCSR305UJX
ENCFF364DZN	36	muscleoflegmaleembryo97days	ENCSR294QCR
ENCFF196AJB	36	kidneyfemaleembryo120days	ENCSR106OKX
ENCFF303UZK	36	muscleofarmembryo101days	ENCSR826ERZ
ENCFF157LBK	20	iPSNIHi11originatedfromAG20443	ENCSR000EKJ
ENCFF258ARL	36	largeintestinemaleembryo115days	ENCSR366EQH
ENCFF941WEG	36	WERIRb1	ENCSR000EQL
ENCFF514GIB	36	WERIRb1	ENCSR000EQL
ENCFF492WOW	36	muscleoflegmaleembryo105days	ENCSR514QHN
ENCFF303ZJH	36	MCF7	ENCSR000EPH
ENCFF955DEC	36	MCF7	ENCSR000EPH
ENCFF756MBO	36	thymusmaleembryo113days	ENCSR544KDB
ENCFF184MNN	36	dermismicrovascularlymphaticvesselendothelialcellfemale	ENCSR000EOA
ENCFF822XHW	36	dermismicrovascularlymphaticvesselendothelialcellfemale	ENCSR000EOA
ENCFF134TWT	36	HL60	ENCSR000ENU
ENCFF499ZYD	36	HL60	ENCSR000ENU
ENCFF993CDV	36	hematopoieticmultipotentprogenitorcell	ENCSR328UMC
ENCFF107THZ	36	GM04504	ENCSR000EMP
ENCFF262GED	36	GM04504	ENCSR000EMP
ENCFF546PJU	36	H1	ENCSR000EMU
ENCFF240PRN	36	muscleofarmfemaleembryo98days	ENCSR753QKD
ENCFF826PVS	36	smallintestinefemaleembryo107days	ENCSR133KBX
ENCFF081LCY	36	smallintestinemaleembryo108days	ENCSR945RWN
ENCFF430FMO	36	stomachfemaleembryo	ENCSR726YMS
ENCFF375IJW	36	Panc1	ENCSR000EPT
ENCFF048ENW	36	Panc1	ENCSR000EPT
ENCFF938QTJ	36	hepaticstellatecellfemaleadult59years	ENCSR000ELR
ENCFF626HEO	36	heartembryo96days	ENCSR911LTI
ENCFF742VVC	36	muscleofbackmaleembryo96days	ENCSR698CUE
ENCFF313CKZ	36	muscleoflegmaleembryo96days	ENCSR059LXL
ENCFF909JSB	36	muscleofbackfemaleembryo85days	ENCSR193LYA
ENCFF507MMD	36	leftlungfemaleembryo117days	ENCSR541AVF
ENCFF972PYS	36	renalcortexinterstitiumfemaleembryo96days	ENCSR932DHT
ENCFF038KVD	36	pancreasmaleadult34years	ENCSR178JBL
ENCFF778WJZ	36	AG04450	ENCSR000ELY
ENCFF157LMS	36	AG04450	ENCSR000ELY
ENCFF581PCB	36	renalcortexinterstitiummaleembryo108days	ENCSR129KIV
ENCFF420TCF	36	leftrenalcortexinterstitiummaleembryo105days	ENCSR092WMD
ENCFF933PEB	36	amnioticepithelialcell	ENCSR000END
ENCFF699MPT	36	amnioticepithelialcell	ENCSR000END
ENCFF868KCX	36	muscleofarmmaleembryo96days	ENCSR888GBS
ENCFF639QKR	36	muscleofarmfemaleembryo115days	ENCSR062DXC
ENCFF016RRF	50	naiveBcell	ENCSR000ELG
ENCFF919CBA	36	kidneyfemaleembryo121days	ENCSR082JCE
ENCFF798VQL	36	leftrenalpelvismaleembryo105days	ENCSR318JAA
ENCFF822LXI	36	renalcortexinterstitiummaleembryo108days	ENCSR828RNY
ENCFF672QYE	36	commonmyeloidprogenitorCD34positivemaleadult49years	ENCSR281HBB
ENCFF512KST	36	rightlungfemaleembryo108days	ENCSR930AUG
ENCFF104LBX	36	iPSDF1911	ENCSR383SNM
ENCFF944ZDV	36	stomachfemaleembryo105days	ENCSR119HXE
ENCFF481LFO	36	muscleoflegmaleembryo104days	ENCSR861NUH
ENCFF062OHQ	20	GM19238	ENCSR000EJJ
ENCFF637MNL	36	fibroblastofskinofleftquadricepsmaleembryo97days	ENCSR555TFE
ENCFF998HLF	36	K562treatedwith500mcMsodiumbutyratefor72hours	ENCSR000EKR
ENCFF431YVH	36	muscleofbackfemaleembryo115days	ENCSR106RBR
ENCFF411CUP	36	renalcortexinterstitiumfemaleembryo96days	ENCSR022ECC
ENCFF188DIT	36	testismaleembryo	ENCSR729DRB
ENCFF614MII	36	rightkidneyfemaleembryo98days	ENCSR884MCZ
ENCFF503STA	36	AG09309	ENCSR000ELZ
ENCFF949KIR	36	AG09309	ENCSR000ELZ
ENCFF214HKE	36	muscleoftrunkfemaleembryo120days	ENCSR217YRJ
ENCFF337DTQ	36	fibroblastofskinofscalpmaleembryo97days	ENCSR360LBD
ENCFF991JUW	20	frontalcortexmaleadult27yearsandmaleadult35years	ENCSR000EIK
ENCFF231BDP	20	frontalcortexmaleadult27yearsandmaleadult35years	ENCSR000EIK
ENCFF422BPY	36	iPSDF69	ENCSR261SMF
ENCFF342GYS	36	spinalcordfemaleembryo89days	ENCSR615WIN
ENCFF877PLC	36	muscleofbackmaleembryo91days	ENCSR317SIH
ENCFF066IIT	36	kidneymaleembryo85days	ENCSR757EPJ
ENCFF139RJL	36	thymusfemaleembryo	ENCSR682PKY
ENCFF445THP	36	BE2C	ENCSR000EMD
ENCFF206JOQ	36	BE2C	ENCSR000EMD
ENCFF316LPW	36	GM12864	ENCSR000EMR
ENCFF791TMB	20	keratinocytefemale	ENCSR000ELH
ENCFF434XSW	36	rightkidneyfemaleembryo117days	ENCSR765BSU
ENCFF345GHO	36	H7	ENCSR000EMZ
ENCFF686SRR	36	H7	ENCSR000EMZ
ENCFF690DPA	36	renalcorticalepithelialcell	ENCSR000EOK
ENCFF128WBQ	36	renalcorticalepithelialcell	ENCSR000EOK
ENCFF403GDZ	36	CD8positivealphabetaTcellfemaleadult33years	ENCSR840TVG
ENCFF874QVX	36	thymusfemaleembryo113days	ENCSR342NCX
ENCFF038JSA	36	smallintestinefemaleembryo98days	ENCSR565EBN
ENCFF356UEK	36	CD14positivemonocytemaleadult37years	ENCSR674JIL
ENCFF461XPQ	36	renalcortexinterstitiumfemaleembryo120days	ENCSR524DWS
ENCFF689PUE	36	muscleofbackfemaleembryo113days	ENCSR010ZMK
ENCFF847OVS	20	CD14positivemonocytefemale	ENCSR000ELE
ENCFF268ZWP	20	CD14positivemonocytefemale	ENCSR000ELE
ENCFF032GRA	36	CD8positivealphabetaTcellmaleadult21yearstreatedwith75mcgkgGCSFfor4days	ENCSR842VTJ
ENCFF512KQX	36	renalcortexinterstitiummaleembryo113days	ENCSR155NPL
ENCFF918VEK	36	placentafemaleembryo108days	ENCSR129TSG
ENCFF462CUN	36	leftlungmaleembryo115days	ENCSR935EVZ
ENCFF385SWW	36	rightlungfemaleembryo91days	ENCSR263IGU
ENCFF291KFT	36	Thelper2cellfemaleadult26years	ENCSR000EQH
ENCFF748OVY	36	muscleofarmmaleembryo101days	ENCSR356QCD
ENCFF651UEB	36	rightlungfemaleembryo110days	ENCSR441MMO
ENCFF339EUH	36	leftkidneymaleembryo96days	ENCSR184DFF
ENCFF742XYO	27	Thelper1cell	ENCSR000EQC
ENCFF704CZH	36	brainmaleembryo101days	ENCSR572LDG
ENCFF728NQI	36	8988T	ENCSR000EID
ENCFF282KMD	36	commonmyeloidprogenitorCD34positivemale	ENCSR564TUY
ENCFF292RWC	36	muscleoflegfemaleembryo85days	ENCSR198JXW
ENCFF980XRG	36	placentamaleembryo91days	ENCSR989YIV
ENCFF695PEK	36	muscleofbackfemaleembryo105days	ENCSR585CGU
ENCFF142HNG	36	stomachfemaleembryo105days	ENCSR062DUU
ENCFF282DOM	20	endothelialcellofumbilicalveinnewborn	ENCSR000EKF
ENCFF872LXH	36	largeintestinefemaleembryo108days	ENCSR874CAK
ENCFF440TAJ	36	commonmyeloidprogenitorCD34positivefemaleadult27years	ENCSR122VUW
ENCFF365ZEE	36	commonmyeloidprogenitorCD34positivefemaleadult27years	ENCSR122VUW
ENCFF231OCZ	36	SKNMC	ENCSR000EPY
ENCFF569XBD	36	SKNMC	ENCSR000EPY
ENCFF774DLC	36	rightkidneyfemaleembryo107days	ENCSR036VRV
