bam_accession	biosample	experiment_accession
ENCFF071FEQ	breastepitheliummaleadult54years	ENCSR788IZL
ENCFF191MRJ	gastrocnemiusmedialisfemaleadult53years	ENCSR686WJL
ENCFF515DYE	lungmaleembryo54daysandmaleembryo58days	ENCSR627NIF
ENCFF710GMU	lungmaleembryo54daysandmaleembryo58days	ENCSR627NIF
ENCFF348KWA	A673	ENCSR346JWH
ENCFF481RYG	A673	ENCSR346JWH
ENCFF330ODA	limbembryo53daysandembryo56days	ENCSR818JGZ
ENCFF505QJX	limbembryo53daysandembryo56days	ENCSR818JGZ
ENCFF080GWM	Karpas422	ENCSR019JDO
ENCFF556SWZ	Karpas422	ENCSR019JDO
ENCFF743EZY	PC3	ENCSR052AWE
ENCFF787PNI	PC3	ENCSR052AWE
ENCFF170CFF	hematopoieticmultipotentprogenitorcelltreatedwithinterleukin3for18dayskitligandfor18dayshydrocortisonesuccinatefor18dayserythropoietinfor18days	ENCSR493IAY
ENCFF867BHQ	transversecolonfemaleadult51years	ENCSR760QZM
ENCFF881HHD	foreskinkeratinocytemalenewborn	ENCSR035RVH
ENCFF774RTX	ELR	ENCSR240TPI
ENCFF678JJZ	ELR	ENCSR240TPI
ENCFF856NCE	bipolarneuronoriginatedfromGM23338treatedwith05mcgmLdoxycyclinehyclatefor4days	ENCSR626RVD
ENCFF297XNU	bipolarneuronoriginatedfromGM23338treatedwith05mcgmLdoxycyclinehyclatefor4days	ENCSR626RVD
ENCFF248IMT	stomachfemaleadult51years	ENCSR641ZPF
ENCFF748SML	rightlobeofliverfemaleadult53years	ENCSR909HFI
ENCFF519DNI	rightatriumauricularregionfemaleadult53years	ENCSR984SQJ
ENCFF768ZNH	breastepitheliumfemaleadult51years	ENCSR859LTL
ENCFF604KEM	cerebellarcortexmaleadult78yearsandmaleadult84years	ENCSR503HIB
ENCFF957ZSY	cerebellarcortexmaleadult78yearsandmaleadult84years	ENCSR503HIB
ENCFF561RKP	suprapubicskinfemaleadult53years	ENCSR101QXF
ENCFF842PJM	suprapubicskinmaleadult54years	ENCSR709IYR
ENCFF971YQE	mammaryepithelialcellfemaleadult18years	ENCSR228VNQ
ENCFF400UAQ	thyroidglandmaleadult54years	ENCSR549NRK
ENCFF191RYF	trophoblastcellembryo21weeks	ENCSR121ZSL
ENCFF156AXX	trophoblastcellembryo21weeks	ENCSR121ZSL
ENCFF360AJQ	trophoblastcellembryo23weeks	ENCSR809LCE
ENCFF425YMJ	Thelper1cell	ENCSR000EQC
ENCFF926QAF	spleenfemaleadult53years	ENCSR128GBN
ENCFF770HOF	OCILY7	ENCSR489NAM
ENCFF670VVE	OCILY7	ENCSR489NAM
ENCFF678SXB	gastrocnemiusmedialismaleadult54years	ENCSR520BAD
ENCFF513LUJ	Peyerspatchmaleadult37years	ENCSR954AJK
ENCFF369TKZ	transversecolonfemaleadult53years	ENCSR763AKE
ENCFF757WSE	limbembryo58daysandembryo59days	ENCSR532CRI
ENCFF371ZLX	limbembryo58daysandembryo59days	ENCSR532CRI
ENCFF032IVX	cardiacmusclecelloriginatedfromRUES2	ENCSR842KCP
ENCFF520VZX	cardiacmusclecelloriginatedfromRUES2	ENCSR842KCP
ENCFF283BSF	upperlobeofleftlungmaleadult37years	ENCSR164WOF
ENCFF876BZP	umbilicalcordembryo59daysandmaleembryo76days	ENCSR512CWR
ENCFF583CPP	umbilicalcordembryo59daysandmaleembryo76days	ENCSR512CWR
ENCFF898EQV	fibroblastofskinofupperbackmaleembryo97days	ENCSR325LYJ
ENCFF971GWX	putamenmaleadult78years	ENCSR493VDS
ENCFF994CAF	adrenalglandmaleadult54years	ENCSR458AOS
ENCFF245DLN	EH	ENCSR548MMD
ENCFF205MKW	EH	ENCSR548MMD
ENCFF845ULG	thyroidglandmaleadult37years	ENCSR749MUH
ENCFF545ZSH	HT29	ENCSR814KRX
ENCFF774MDD	HT29	ENCSR814KRX
ENCFF784NOX	HT29	ENCSR814KRX
ENCFF184BWW	HT29	ENCSR814KRX
ENCFF122KHB	gastrocnemiusmedialismaleadult54years	ENCSR171ETY
ENCFF973YZD	leftcardiacatriumfemaleembryo101days	ENCSR412NMI
ENCFF977TEJ	hematopoieticmultipotentprogenitorcell	ENCSR098PTC
ENCFF414SNM	hematopoieticmultipotentprogenitorcell	ENCSR098PTC
ENCFF602SRQ	H9G2phasegeneticallymodifiedusingstabletransfection	ENCSR943SYS
ENCFF649ZAQ	H9G2phasegeneticallymodifiedusingstabletransfection	ENCSR943SYS
ENCFF485TFU	NCIH460	ENCSR000FJH
ENCFF521MKT	placentaembryo56daysandembryo59days	ENCSR552XJI
ENCFF244BRN	vaginafemaleadult53years	ENCSR437AYW
ENCFF649ZAY	hematopoieticmultipotentprogenitorcelltreatedwithinterleukin3for11dayskitligandfor11dayshydrocortisonesuccinatefor11dayserythropoietinfor11days	ENCSR420NOA
ENCFF820REL	hematopoieticmultipotentprogenitorcelltreatedwithinterleukin3for11dayskitligandfor11dayshydrocortisonesuccinatefor11dayserythropoietinfor11days	ENCSR420NOA
ENCFF826AMO	hematopoieticmultipotentprogenitorcelltreatedwithinterleukin3for11dayskitligandfor11dayshydrocortisonesuccinatefor11dayserythropoietinfor11days	ENCSR420NOA
ENCFF449PKZ	skeletalmusclemyoblast	ENCSR000EOO
ENCFF967UAJ	H9S1phasegeneticallymodifiedusingstabletransfection	ENCSR017OZH
ENCFF997FAV	H9S1phasegeneticallymodifiedusingstabletransfection	ENCSR017OZH
ENCFF058CQP	amnioticstemcellmaleembryo15weeks	ENCSR207TUX
ENCFF904BFF	trophoblastcellembryo39weeksandembryo40weeks	ENCSR964MZQ
ENCFF443FNM	trophoblastcellembryo39weeksandembryo40weeks	ENCSR964MZQ
ENCFF258GAN	H9	ENCSR275ICP
ENCFF440ZDB	H9	ENCSR275ICP
ENCFF679YLR	heartembryo80days	ENCSR804RSI
ENCFF656IUA	tibialarteryfemaleadult53years	ENCSR080ISA
ENCFF989PKC	brainembryo80days	ENCSR507GFJ
ENCFF461GFF	gastrocnemiusmedialismaleadult37years	ENCSR171ADO
ENCFF017WOW	cardiacfibroblastfemaleadult	ENCSR000ENI
ENCFF314TXQ	hematopoieticmultipotentprogenitorcelltreatedwithinterleukin3for15dayskitligandfor15dayshydrocortisonesuccinatefor15dayserythropoietinfor15days	ENCSR937UWI
ENCFF210SQD	hematopoieticmultipotentprogenitorcelltreatedwithinterleukin3for15dayskitligandfor15dayshydrocortisonesuccinatefor15dayserythropoietinfor15days	ENCSR937UWI
ENCFF694HNB	brainmaleembryo72daysandmaleembryo76days	ENCSR475VQD
ENCFF326MTD	brainmaleembryo72daysandmaleembryo76days	ENCSR475VQD
ENCFF417YHL	Peyerspatchmaleadult54years	ENCSR455GUW
ENCFF982IRZ	brainembryo56daysandmaleembryo58days	ENCSR595CSH
ENCFF226FCY	brainembryo56daysandmaleembryo58days	ENCSR595CSH
ENCFF707FHL	transversecolonmaleadult37years	ENCSR923JYH
ENCFF012SLK	retinaembryo74daysandembryo85days	ENCSR621ENC
ENCFF450AEQ	retinaembryo74daysandembryo85days	ENCSR621ENC
ENCFF779YSP	lungfemaleembryo76days	ENCSR141IUS
ENCFF888GBR	Peyerspatchfemaleadult53years	ENCSR689DSM
ENCFF282NGP	tibialnervemaleadult54years	ENCSR508FVM
ENCFF146VLB	HK2	ENCSR634YVQ
ENCFF430WNU	heartleftventriclefemaleembryo136days	ENCSR501FWC
ENCFF492NLF	ovaryfemaleadult51years	ENCSR365NDK
ENCFF783DMI	SKNDZ	ENCSR946MVP
ENCFF141WFQ	SKNDZ	ENCSR946MVP
ENCFF091MJM	tibialarterymaleadult54years	ENCSR090IDV
ENCFF152WQB	bodyofpancreasfemaleadult51years	ENCSR405YLV
ENCFF270MAQ	stomachfemaleadult53years	ENCSR006IMH
ENCFF720DOK	lowerlegskinfemaleadult53years	ENCSR579KDC
ENCFF881MGL	Thelper1cellfemaleadult26years	ENCSR000EQD
ENCFF460AJF	tonguemaleembryo72days	ENCSR559WMK
ENCFF186TVF	CD4positivealphabetaTcellmaleadult37years	ENCSR167JFX
ENCFF336GIX	regulatoryTcellfemaleadult35years	ENCSR000EQJ
ENCFF476LNW	smallintestinemaleadult34years	ENCSR931UQB
ENCFF441YDL	retinafemaleembryo89days	ENCSR820ICX
ENCFF016BHY	eyeembryo56daysandmaleembryo76days	ENCSR782XFY
ENCFF166PZO	eyeembryo56daysandmaleembryo76days	ENCSR782XFY
ENCFF120DCL	heartleftventriclefemaleembryo101daysandfemaleembryo103days	ENCSR946DXB
ENCFF042RGX	heartleftventriclefemaleembryo101daysandfemaleembryo103days	ENCSR946DXB
ENCFF009DSK	rightkidneymaleembryo91days	ENCSR768OLL
ENCFF407ZYK	hematopoieticmultipotentprogenitorcelltreatedwithinterleukin3for6dayskitligandfor6dayshydrocortisonesuccinatefor6dayserythropoietinfor6days	ENCSR564JUY
ENCFF235MHO	hematopoieticmultipotentprogenitorcelltreatedwithinterleukin3for6dayskitligandfor6dayshydrocortisonesuccinatefor6dayserythropoietinfor6days	ENCSR564JUY
ENCFF815OAG	liverfemaleembryo101daysandfemaleembryo113days	ENCSR562FNN
ENCFF268HHE	dedifferentiatedamnioticfluidmesenchymalstemcellmaleembryo15weeks	ENCSR820WLP
ENCFF402JUO	dedifferentiatedamnioticfluidmesenchymalstemcellmaleembryo15weeks	ENCSR820WLP
ENCFF448IDX	CD8positivealphabetaTcellmaleadult21years	ENCSR020LUD
ENCFF759POB	uterusfemaleadult53years	ENCSR129BZE
ENCFF614PJN	NAMALWAtreatedwithSendaivirusfor2hours	ENCSR301OGM
ENCFF554YJG	NAMALWAtreatedwithSendaivirusfor2hours	ENCSR301OGM
ENCFF500YPK	endodermalcell	ENCSR166KPV
ENCFF996MDG	endodermalcell	ENCSR166KPV
ENCFF564ZSB	coronaryarteryfemaleadult53years	ENCSR060HPL
ENCFF828DID	lungmicrovascularendothelialcellfemale	ENCSR000EOD
ENCFF717PYY	sigmoidcolonfemaleadult51years	ENCSR462XTM
ENCFF532BLV	prostateglandmaleadult37years	ENCSR564FZH
ENCFF093TXU	RPMI7951	ENCSR000EPV
ENCFF401MDW	hematopoieticmultipotentprogenitorcelltreatedwithinterleukin3for13dayskitligandfor13dayshydrocortisonesuccinatefor13dayserythropoietinfor13days	ENCSR855FOP
ENCFF741PWD	hematopoieticmultipotentprogenitorcelltreatedwithinterleukin3for13dayskitligandfor13dayshydrocortisonesuccinatefor13dayserythropoietinfor13days	ENCSR855FOP
ENCFF924XMA	omentalfatpadfemaleadult53years	ENCSR154OUQ
ENCFF005OTQ	testismaleadult37years	ENCSR866ODX
ENCFF991DAZ	ectoneuralprogenitorcelloriginatedfromH9	ENCSR360XIS
ENCFF920QWF	fibroblastofskinofscalpmaleembryo97days	ENCSR770DEN
ENCFF080TUY	SW480	ENCSR217SET
ENCFF242UZF	SW480	ENCSR217SET
ENCFF383LHO	L1S8	ENCSR314EZY
ENCFF484CFA	L1S8	ENCSR314EZY
ENCFF568CIR	Bcellmaleadult21years	ENCSR381PXW
ENCFF344IWY	omentalfatpadfemaleadult51years	ENCSR693UHT
ENCFF429WIJ	adrenalglandmaleadult37years	ENCSR277KRY
ENCFF588LDO	CD8positivealphabetaTcellmaleadult37years	ENCSR316UDN
ENCFF411OPU	M059J	ENCSR000EPG
ENCFF817DBS	tibialarterymaleadult37years	ENCSR102RSU
ENCFF316ZBI	Caki2	ENCSR515EWI
ENCFF404BHS	Caki2	ENCSR515EWI
ENCFF332SHA	sigmoidcolonmaleadult54years	ENCSR391YAV
ENCFF795WNZ	NAMALWA	ENCSR662HMO
ENCFF542SSH	NAMALWA	ENCSR662HMO
ENCFF392NUA	H9G1bphasegeneticallymodifiedusingstabletransfection	ENCSR964WHY
ENCFF813FRV	H9G1bphasegeneticallymodifiedusingstabletransfection	ENCSR964WHY
ENCFF500AWG	RKO	ENCSR429RHR
ENCFF287XYD	RKO	ENCSR429RHR
ENCFF324DXM	upperlobeofleftlungfemaleadult53years	ENCSR702DPD
ENCFF263MRB	HFFc6	ENCSR672EWY
ENCFF742XCJ	HFFc6	ENCSR672EWY
ENCFF697BUT	thyroidglandfemaleadult53years	ENCSR195ONB
ENCFF356KHK	kidneycapillaryendothelialcellfemaleembryo113days	ENCSR988YKR
ENCFF532LEH	rightatriumauricularregionfemaleadult51years	ENCSR278SKG
ENCFF759MER	retinaembryo125daysandmaleembryo103days	ENCSR474GZQ
ENCFF650HHD	retinaembryo125daysandmaleembryo103days	ENCSR474GZQ
ENCFF292YTL	caudatenucleusmaleadult78years	ENCSR015BGH
ENCFF254NDZ	KBM7	ENCSR426IEA
ENCFF610TRI	KBM7	ENCSR426IEA
ENCFF901GSL	H4	ENCSR809CEA
ENCFF869MPY	H4	ENCSR809CEA
ENCFF544VZR	kidneyembryo59daysandfemaleembryo59days	ENCSR792ZXA
ENCFF519VQK	kidneyembryo59daysandfemaleembryo59days	ENCSR792ZXA
ENCFF584UFS	cardiacfibroblastfemaleembryo94daysandfemaleembryo98days	ENCSR856NXV
ENCFF019IAD	cardiacfibroblastfemaleembryo94daysandfemaleembryo98days	ENCSR856NXV
ENCFF954IMM	commonmyeloidprogenitorCD34positivefemaleadult33years	ENCSR468ZXN
ENCFF416MCN	fibroblastofgingiva	ENCSR000ENS
ENCFF729TER	upperlobeofleftlungmaleadult54years	ENCSR650FLQ
ENCFF683ORR	RCC	ENCSR337IRF
ENCFF544YPD	RCC	ENCSR337IRF
ENCFF566SPI	A549	ENCSR000ELW
ENCFF791GCM	bodyofpancreasmaleadult54years	ENCSR464TKV
ENCFF922NQN	upperlobeofleftlungfemaleadult51years	ENCSR323UTX
ENCFF222OQF	H9G1phasegeneticallymodifiedusingstabletransfection	ENCSR754LIN
ENCFF100XZT	H9G1phasegeneticallymodifiedusingstabletransfection	ENCSR754LIN
ENCFF892EDU	SKNDZtreatedwithdimethylsulfoxidefor72hours	ENCSR000FJL
ENCFF581GVQ	eyefemaleembryo76days	ENCSR127PWK
ENCFF939DQH	A172	ENCSR932KWJ
ENCFF402SAN	A172	ENCSR932KWJ
ENCFF492DGO	midbrainmaleadult78yearsandmaleadult84years	ENCSR706IDL
ENCFF444EIJ	midbrainmaleadult78yearsandmaleadult84years	ENCSR706IDL
ENCFF299HZI	thyroidglandfemaleadult51years	ENCSR450PWF
ENCFF048NZA	neuralprogenitorcelloriginatedfromH9	ENCSR963ALV
ENCFF940IUC	neuralprogenitorcelloriginatedfromH9	ENCSR963ALV
ENCFF508GQV	ascendingaortafemaleadult51years	ENCSR422IIZ
ENCFF366BKM	LHCNM2	ENCSR000EPE
ENCFF097NAZ	HepG2	ENCSR149XIL
ENCFF591XCX	HepG2	ENCSR149XIL
ENCFF037AJZ	heartleftventriclefemaleadult53years	ENCSR070CMW
ENCFF811KRD	fibroblastofskinofrightbicepsmaleembryo97days	ENCSR383BLX
ENCFF481EJF	tibialnervemaleadult37years	ENCSR484UAU
ENCFF946UBZ	RCC7860	ENCSR037PGI
ENCFF660DFK	RCC7860	ENCSR037PGI
ENCFF936UIY	middlefrontalgyrusmaleadult78years	ENCSR318PRQ
ENCFF613NWB	middlefrontalgyrusmaleadult78years	ENCSR318PRQ
ENCFF844BZM	SKMEL5	ENCSR000FEK
ENCFF433CFI	ELF1	ENCSR678ILN
ENCFF830ETB	adrenalglandfemaleadult53years	ENCSR053ZKP
ENCFF546ZHR	Ammonshornmaleadult84years	ENCSR584LUZ
ENCFF998GUS	testismaleadult54years	ENCSR978QUT
ENCFF042QTI	myocyteoriginatedfromLHCNM2	ENCSR000EPD
ENCFF030IXL	stomachmaleadult54years	ENCSR163PKT
ENCFF447MLK	placentaembryo102days	ENCSR552RKI
ENCFF381LQH	RPMI8226	ENCSR594NOE
ENCFF099MEZ	RPMI8226	ENCSR594NOE
ENCFF878NHU	trophoblastcellembryo17weeksandembryo18weeks	ENCSR593LTJ
ENCFF726NZR	trophoblastcellembryo17weeksandembryo18weeks	ENCSR593LTJ
ENCFF790EMB	MG63	ENCSR083STA
ENCFF642YAS	MG63	ENCSR083STA
ENCFF962LGH	HAP1	ENCSR620QNS
ENCFF097XTY	HAP1	ENCSR620QNS
ENCFF617PSN	Daoy	ENCSR346IHH
ENCFF395BOY	Daoy	ENCSR346IHH
ENCFF280NPO	foreskinmelanocytemalenewborn	ENCSR434OBM
ENCFF677MWA	fibroblastofskinofrightquadricepsmaleembryo97days	ENCSR217RVH
ENCFF188LQX	medullaoblongatamaleadult78yearsandmaleadult84years	ENCSR224IYD
ENCFF182IAY	medullaoblongatamaleadult78yearsandmaleadult84years	ENCSR224IYD
ENCFF081ZLR	EL	ENCSR691MQJ
ENCFF238GSX	kidneyfemaleembryo105days	ENCSR774RCO
ENCFF488PYC	naivethymusderivedCD4positivealphabetaTcellmaleadult26years	ENCSR000EML
ENCFF156LGK	K562	ENCSR000EOT
ENCFF869HKR	urinarybladdermaleembryo76days	ENCSR813CKU
ENCFF984FKS	bodyofpancreasfemaleadult53years	ENCSR828FVZ
ENCFF732ROP	Peyerspatchfemaleadult51years	ENCSR261RWJ
ENCFF162FHA	vaginafemaleadult51years	ENCSR733YNW
